entity_id,entity_name,sector,transaction_count,total_amount_zar,inbound_amount_zar,outbound_amount_zar,net_amount_zar,min_date,max_date
E03,Anglo American,mining,94164,26151440574.273148,19149429932.373146,7002010641.9,12147419290.473146,2023-07-01,2026-06-30
E04,AngloGold Ashanti,mining,23806,5511158484.636724,3943397423.706724,1567761060.93,2375636362.776724,2023-07-01,2026-06-30
E19,Aspen Pharmacare,industrials_pharma,106644,9686824501.4,5224985567.68,4461838933.72,763146633.96,2023-07-01,2026-06-30
E01,BHP Group,mining,124728,46519002926.3981,34118792682.988102,12400210243.41,21718582439.578102,2023-07-01,2026-06-30
E10,Bid Corporation,consumer,222431,33247060939.67,18078692495.63,15168368444.04,2910324051.59,2023-07-01,2026-06-30
E12,Clicks Group,consumer,9026,589859857.7,277816030.9,312043826.8,-34227795.900000036,2023-07-01,2026-06-30
E02,Glencore,mining,20847,12520018335.913038,9132612035.523037,3387406300.39,5745205735.133038,2023-07-01,2026-06-30
E05,Gold Fields,mining,21760,4762980328.979229,3421572453.3892293,1341407875.59,2080164577.7992294,2023-07-01,2026-06-30
E16,MTN Group,telecoms,210405,31402533346.19,17091854211.84,14310679134.35,2781175077.49,2023-07-01,2026-06-30
E13,NEPI Rockcastle,real_estate,2787,116647018.14,53823226.09,62823792.05,-9000565.959999993,2023-07-02,2026-06-30
E15,Naspers,tech,32707,4195834038.68,2226782921.79,1969051116.89,257731804.89999986,2023-07-01,2026-06-30
E07,OUTsurance Group,insurance,13770,866964442.15,405028900.04,461935542.11,-56906642.06999999,2023-07-01,2026-06-30
E11,Pepkor Holdings,consumer,929773,103031034091.32,56218309586.25,46812724505.07,9405585081.18,2023-07-01,2026-06-30
E14,Prosus,tech,49695,5875890798.54,3257107753.89,2618783044.65,638324709.2399998,2023-07-01,2026-06-30
E08,Sanlam,insurance,609205,73838648731.25,40370847465.3,33467801265.95,6903046199.350002,2023-07-01,2026-06-30
E20,Shaftesbury Capital plc,real_estate,1418,37316679.03,17764854.88,19551824.15,-1786969.2699999996,2023-07-03,2026-06-28
E09,Shoprite Holdings,consumer,202376,31253924097.46,16980490376.41,14273433721.05,2707056655.3600006,2023-07-01,2026-06-30
E18,The Bidvest Group,industrials_pharma,107618,13354552223.66,7291824729.32,6062727494.34,1229097234.9799995,2023-07-01,2026-06-30
E06,Valterra Platinum,mining,794,138624040.35582826,97693551.49582827,40930488.86,56763062.63582827,2023-07-01,2026-06-30
E17,Vodacom Group,telecoms,7849,738191138.53,372240395.22,365950743.31,6289651.910000026,2023-07-01,2026-06-30
