client,type,stated_value,verified,match_scope
Glencore,percent,0.1,True,client
Glencore,rand_zar_m,9500000.0,True,client
BHP Group,percent,2.0,True,client
BHP Group,percent,0.5,True,client
BHP Group,percent,1.8,True,client
BHP Group,rand_zar_m,819900.0,True,client
BHP Group,rand_zar_m,836700.0,True,client
BHP Group,rand_zar_m,290700.0,True,client
BHP Group,rand_zar_m,292200.0,True,client
BHP Group,rand_zar_m,1110000.0,True,client
Anglo American,percent,2.5,True,client
Anglo American,percent,0.3,True,client
Anglo American,percent,1.8,True,client
Anglo American,rand_zar_m,294900.0,True,client
Anglo American,rand_zar_m,302500.0,True,client
Anglo American,rand_zar_m,208800.0,True,client
Anglo American,rand_zar_m,209400.0,True,client
Anglo American,rand_zar_m,502700.0,True,client
Shoprite Holdings,percent,2.4,True,client
Shoprite Holdings,percent,2.7,True,client
Shoprite Holdings,rand_zar_m,448000.0,True,client
Shoprite Holdings,rand_zar_m,437000.0,True,client
Shoprite Holdings,rand_zar_m,57700.0,True,client
Bid Corporation,percent,3.1,True,client
Bid Corporation,percent,2.3,True,client
Bid Corporation,rand_zar_m,413500.0,True,client
Bid Corporation,rand_zar_m,400600.0,True,client
Bid Corporation,rand_zar_m,80900.0,True,client
MTN Group,percent,4.6,True,client
MTN Group,percent,79.2,True,client
MTN Group,percent,3.5,True,client
MTN Group,rand_zar_m,216300.0,True,client
MTN Group,rand_zar_m,226700.0,True,client
MTN Group,rand_zar_m,173300.0,True,client
Naspers,percent,0.8,True,client
Naspers,percent,0.3,True,client
Naspers,percent,85.1,True,client
Naspers,percent,2.1,True,client
Naspers,percent,1.2,True,client
Naspers,rand_zar_m,185700.0,True,client
Naspers,rand_zar_m,187200.0,True,client
Naspers,rand_zar_m,15100.0,True,client
Naspers,rand_zar_m,15100.0,True,client
Naspers,rand_zar_m,99700.0,True,client
Naspers,rand_zar_m,97600.0,True,client
Naspers,rand_zar_m,298500.0,True,client
AngloGold Ashanti,percent,0.8,True,client
AngloGold Ashanti,percent,1.1,True,client
AngloGold Ashanti,percent,1.1,True,client
AngloGold Ashanti,percent,1.0,True,client
AngloGold Ashanti,rand_zar_m,241500.0,True,client
AngloGold Ashanti,rand_zar_m,243400.0,True,client
AngloGold Ashanti,rand_zar_m,47400.0,True,client
AngloGold Ashanti,rand_zar_m,48000.0,True,client
AngloGold Ashanti,rand_zar_m,288000.0,True,client
Vodacom Group,percent,0.2,True,client
Vodacom Group,percent,0.2,True,client
Vodacom Group,percent,4.7,True,client
Vodacom Group,percent,40.7,True,client
Valterra Platinum,percent,0.0,True,client
Valterra Platinum,percent,0.2,True,client
Valterra Platinum,percent,4.0,True,portfolio
Valterra Platinum,rand_zar_m,204000.0,True,client
