entity_name,source_file,fiscal_year,fiscal_year_detected,data_vintage_flag,currency,fx_rate_to_zar,page_ref,file_selection_flag,inventory_zar_millions,inventory_millions,inventory,trade_receivables_zar_millions,trade_receivables_millions,trade_receivables,imports_exports,working_capital_notes,notes
Anglo American,AA annual-report-full-2025.pdf,2025,2025,current,USD,16.3213,"129, 154, 274, 275, 277, 278, 317, 320",no AFS-labeled file found; used newest annual/integrated report; Folder contains a file referencing 'AGA' (AngloGold Ashanti's ticker) - verify this isn't misfiled.,62331.0,3819,"USD 3,819 million total (current USD 3,013m + non-current USD 806m), FY2025 (2024: USD 6,439m).",66215.5,4057,"USD 4,057 million total 'Trade and other receivables' (current USD 3,748m + non-current USD 309m), FY2025 (2024: USD 3,660m).","No quantified import/export revenue or trade-finance facility figures disclosed. Excerpt states Anglo American is 'one of the world's largest exporters of steelmaking coal' serving customers in Asia, Europe and South America, and that trade-receivable credit risk is partly mitigated via letters of credit from financial institutions as payment security instruments.","Cash flows from operations were roughly flat at USD 7.0bn (2024: USD 6.9bn) as a lower working capital inflow of USD 0.6bn (2024: USD 1.5bn inflow) was offset by improved other operating cash flows. Within working capital: a USD 0.7bn inventory inflow (De Beers stock rebalancing), a USD 0.9bn receivables outflow (high copper prices/provisional pricing adjustments), largely offset by a USD 0.8bn payables inflow (higher amounts due on third-party copper purchases).","Reports in USD, not ZAR/GBP, despite UK primary listing. FY2025 figures separate discontinued operations (Steelmaking Coal, Nickel held for sale; Valterra Platinum demerged in 2025); continuing-operations figures used above unless noted. No single 'cost of sales' line or geographic (destination) revenue split found in this excerpt."
AngloGold Ashanti,ERDEC25.pdf,2025,,current,USD,16.3213,"6, 19, 20, 21, 22, 23, 39",no AFS-labeled file found; used newest annual/integrated report,20417.9,1251,"USD 1,251 million total (current USD 1,076m + non-current USD 175m), FY2025 (2024: USD 1,213m).",10967.9,672,"USD 672 million total 'Trade, other receivables and other assets' (current USD 423m + non-current USD 249m), FY2025 (2024: USD 569m). Contingent consideration is now shown as a separate line (USD 60m non-current + USD 62m current).","Not disclosed - no import/export revenue split, letters of credit, or trade-finance guarantee figures found in this earnings-release excerpt.","No detailed inventory/receivables/payables cash-flow working-capital breakdown was found for the Group cash flow statement in this excerpt (only 'Cash generated from operations' of USD 5,409m vs 2024 USD 2,063m is shown); underlying working-capital movement components are not itemized here.","Reports in USD, not ZAR, despite JSE secondary listing and South African heritage. Source document is the Q4/FY2025 Earnings Release (not the full Annual Report/20-F); items like detailed FX sensitivity, import/export disclosures, and working-capital cash-flow breakdown were 'not disclosed' here but may exist in the full filing."
Aspen Pharmacare,Aspen_FY2025_AFS.pdf,2025,2025,current,ZAR,1.0,"15, 16, 19, 47, 49, 51, 73, 75, 79, 88",,18009.0,18009,"R18,009 million, FY2025 (2024: R18,002m) - Raw materials R4,468m, Work-in-progress R3,334m, Finished goods R9,143m, Consumables R1,064m.",10646.0,10646,"Net trade receivables R10,646 million (gross R11,166m less allowance for credit losses R520m); total 'Receivables and other current assets' R13,339 million, FY2025 (2024: net trade receivables R10,299m; total R12,664m).","No export/import revenue split or letters-of-credit/trade-guarantee figures disclosed. Related disclosures: a 6-year API supply agreement (R37m realised in FY2025 cost of sales) and a 5-year heparin supply agreement (advance rebate prepayment of R595m/EUR29m, with R118m/EUR6m realised in FY2025 cost of sales) - these are supply-chain prepayments, not trade-finance instruments.","Working capital movements were a net outflow of R1,603 million within cash generated from operations (2024: outflow of R242m): increase in inventories R704m outflow (2024: R200m inflow); increase in trade and other receivables R773m outflow (2024: R104m outflow); decrease in trade and other payables R126m outflow (2024: R338m outflow).","Reports in ZAR (South African rand), consistent with JSE primary listing. Figures are Group (consolidated), for the year ended 30 June 2025. Geographic revenue split not found in this excerpt; a currency-mix proxy was used instead."
BHP Group,5. 2025 Annual Report.pdf,2025,2025,current,USD,16.3213,"74, 119, 121, 122, 127, 137, 161, 162",no AFS-labeled file found; used newest annual/integrated report,113890.0,6978,"USD 6,978 million total (current USD 5,538m + non-current USD 1,440m), FY2025 (2024: USD 7,039m).",69414.5,4253,"USD 4,253 million total 'Trade and other receivables' (current USD 4,116m + non-current USD 137m), FY2025 (2024: USD 5,339m).","No specific import/export revenue figures, letters of credit, or trade-finance facility amounts disclosed. Narrative commentary notes BHP is a major exporter of copper, iron ore and steelmaking/energy coal, discussing US tariff threats to copper imports and Chinese/Indian import demand for iron ore and coal, but without quantified export/import values.","Cash flow statement 'Changes in assets and liabilities', FY2025 (2024): Trade and other receivables +USD 776m source of cash (USD (290)m use of cash in 2024); Inventories +USD 64m (USD (530)m in 2024); Trade and other payables USD (116)m (USD (27)m in 2024); Provisions and other assets/liabilities USD (249)m (USD (469)m in 2024).","Reports in USD, not AUD, despite ASX primary listing and Australian domicile. Figures are for BHP Group (consolidated), year ended 30 June 2025."
Bid Corporation,Bidcorp-2025-AFS.pdf,2025,2025,current,ZAR,1.0,"27, 28, 35, 36, 66, 67",,19262.7,19262.68,"R 19,262,680 thousand, FY2025; 2024: R17,007,694 thousand",25275.7,25275.65,"R 25,275,650 thousand, FY2025; 2024: R23,524,599 thousand","No specific import/export dollar figures disclosed. Group hedges foreign-currency-denominated trade receivables/payables via forward exchange contracts (FECs); borrowings are currency-matched to the functional currency of the business raising them. Total group banking facilities of R31,590 million (2024: R26,373 million), of which R17,043 million utilised and R14,548 million unutilised at 30 June 2025. No letters of credit specifically disclosed in this excerpt.","FY2025 cash flow statement working capital changes: increase in inventories R(1,463,062)k, increase in trade and other receivables R(465,099)k, increase in trade and other payables R1,124,661k; net working capital changes R(803,500)k (2024: R(1,637,147)k)","Consolidated Bidcorp Group figures, reported in South African Rand (R'000), FYE 30 June 2025. Comprehensive disclosure found in excerpt; no material gaps identified for requested fields."
Clicks Group,Clicks_FY2025_AFS.pdf,2025,2025,current,ZAR,1.0,"10, 13, 14, 26, 41, 42, 43",,7818.7,7818.704,"Inventories: R 7,818,704 thousand, FY2025 (2024: R7,063,280 thousand)",3139.5,3139.516,"Trade and other receivables: R 3,139,516 thousand, FY2025 (2024: R3,057,282 thousand)","Group is exposed to FX risk via imports of merchandise denominated in USD, EUR, GBP and CNY, hedged with forward exchange contracts (notional principal R642 million at 31 Aug 2025 vs R780 million in 2024). No export activity/figures disclosed - Clicks is a domestic SA retailer/distributor. Group also discloses a supply chain finance facility of R1,300 million (unchanged from 2024) and total uncommitted facilities of R4,166 million plus USD64 million (2024: R4,139 million plus USD62 million).","FY2025 cash flow note: increase in inventories R(753,496)k, increase in trade and other receivables R(82,234)k, increase in trade and other payables R870,691k, increase in employee benefits R37,887k; total working capital changes +R72,848k (2024: +R99,357k). Capital risk management target is a shareholders'-interest-to-total-assets ratio of 30%-35%, achieved partly through management of working capital (30.4% actual in FY2025).","Consolidated Clicks Group figures, reported in South African Rand (R'000), FYE 31 August 2025. Business is predominantly domestic (South Africa) with minor, non-material foreign operations; hence limited geographic revenue/foreign revenue % disclosure versus more internationally diversified peers."
Glencore,Glencore 2025 Annual Report.pdf,2025,2025,current,USD,16.3213,"46, 47, 140, 141, 146, 168, 169, 188, 207, 208, 214, 234",no AFS-labeled file found; used newest annual/integrated report,554189.7,33955,"Inventories (current): US$ 32,882 million, FY2025 (2024: US$29,580 million); plus non-current inventories of US$1,073 million (2024: US$517 million) - total approx US$33,955 million",388871.3,23826,"'Accounts receivable' (current) total: US$ 23,826 million, FY2025 (2024: US$17,781 million). Within this, the narrower 'Trade receivables' (amortised cost) line is US$2,279 million (2024: US$3,083 million), plus 'Trade receivables with derivative features' (provisionally-priced commodity sales) of US$11,149 million (2024: US$7,795 million), plus margin calls, associate receivables, advances/loans etc.","No aggregate 'imports/exports' revenue figure disclosed (inherent to commodity trading business), but detailed trade-finance disclosure: trade payables at 31 Dec 2025 included US$9,462 million (2024: US$7,472 million) of liabilities arising from supplier payment arrangements where a financial institution issues a letter of credit on Glencore's behalf and is repaid ~89 days (2024: 78 days) after physical supply. Corporate guarantees in favour of associates/JVs were US$587 million (2024: US$226 million). Committed liquidity facilities totalled US$12.9 billion (2024: US$11.5 billion).","FY2025 cash flow statement: increase in accounts receivable US$(7,146) million, increase in inventories US$(3,529) million, increase in accounts payable US$9,672 million; total working capital changes US$(1,003) million (2024: +US$2,061 million). Separately, the Group's 'Net working capital changes' alternative performance measure was US$(1,359) million in 2025 (2024: +US$1,759 million).","Reports in US dollars (US$ million), FYE 31 December 2025 - NOT ZAR, despite Glencore's significant South African (coal, ferroalloys) operations. As a global commodity trading/mining group, 'trade receivables' and 'trade payables' balances are dominated by large provisionally-priced/derivative-linked commodity balances rather than conventional simple trade debtors/creditors - both the broad 'Accounts receivable/payable' totals and the narrower amortised-cost subtotals are provided above for clarity."
Gold Fields,AFR2025.pdf,2025,2025,current,USD,16.3213,"16-21, 29-31, 58-70, 72-74, 77, 78, 80, 81, 96-99, 102, 104, 112, 113, 118-124, 132-135, 143-146, 151-155, 161-165",,18867.4,1156.0,"Total inventories: USD 1,156.0 million at 31 Dec 2025 (2024: USD 1,049.1m) - current USD 782.6m + non-current (heap leach/stockpile, >12 months) USD 373.4m. Comprises gold-in-process and stockpiles USD 845.2m and consumable stores USD 310.8m.",6213.5,380.7,"Trade and other receivables (total, current): USD 380.7 million at 31 Dec 2025 (2024: USD 337.8m). Within this, trade receivables specifically (gold sales USD 101.9m + copper concentrate USD 31.0m + other USD 11.2m) = USD 144.1 million (2024: USD 152.7m).","No dedicated import/export revenue figures or trade-finance letters of credit disclosed. 'Value Added Tax and import duties' of USD 123.2 million (2024: USD 106.9m) is included within Trade and other receivables. General corporate borrowing/guarantee facilities exist (US$1,200m multi-currency RCF, A$1,250m term loan, US$750m 7-year notes) but these are general Group financing, not import/export trade facilities.","Change in working capital note (cash flow statement, FY2025): Inventories +USD 42.6m, Trade and other receivables (USD 61.6m), Trade and other payables +USD 206.4m, total change +USD 187.4 million net cash inflow (2024: +USD 13.9m; 2023: (USD 199.1m)).","CORRECTED 2026-08-09: this replaces a prior extraction that used a stale FY2023 filing due to a file-selection bug (bare 'AFR2025.pdf'/'AFR2024.pdf' filenames weren't matching the AFS-detection regex; fixed in extract_financials.py). This extraction is confirmed genuinely FY2025 (source 'AFR2025.pdf', statements explicitly captioned 'for the year ended 31 December 2025'). Revenue of USD 8,751.3 million exactly matches an independently-known reference figure used to validate this correction. FY2025 results reflect a substantial gold price increase plus consolidation of Gold Road (100% acquired 26 Sept 2025, Australia/Gruyere) and Osisko/Windfall (100% acquired 25 Oct 2024, Canada, still pre-revenue). Group reports in USD; parent company separate financial statements report in ZAR (relevant for fx_gains_losses/fx_exposure_notes, where the parent-only Rand FX note is distinguished from the Group USD note). 'Operating expenses' is not a distinct IFRS line item - cost of sales is the closest equivalent."
MTN Group,17.03.2025 - MTN Group - AFS.pdf,2025,2025,current,ZAR,1.0,PDF pages 17-21 of 'MTN FY25 Integrated Report low res (28042026).pdf' (internal report pages 15-19).,,,,Not disclosed in this excerpt.,,,"Not disclosed in this excerpt. Receivables-type items are grouped under 'Other current assets' (R93,359 million in 2025 vs R81,386 million in 2024), with no separate trade receivables line broken out. (Source: Statement of financial position, PDF page 20.)","Not disclosed in this excerpt. No explicit import/export revenue figures, letters of credit, or trade finance guarantees are mentioned.","Cash generated from operations increased 50.3% to R105,938 million (2025) from R70,502 million (2024), attributed mainly to higher EBITDA and lower cost growth relative to revenue growth. 'Other current assets' rose 14.7% to R93,359 million (higher bank balances in Nigeria, Ghana, Cameroon, Uganda); 'Other liabilities' rose 17.7% to R89,469 million partly on trade/other payables increases; Mobile Money deposits/payables rose 52.1% to R92,554 million. (Source: Statement of cash flows and financial position commentary, PDF pages 20-21.)","CORRECTED FY2025 (replaces a prior entry that used a stale FY2024 AFS). Source is MTN's FY2025 Integrated Report (CFO Q&A plus summarized 'Key financial tables'), not the full Annual Financial Statements, so balance-sheet detail (trade receivables/payables, inventory) is not broken out here - it's aggregated into 'Other current assets'/'Other liabilities'. All figures confirmed as genuine FY2025 (year ended 31 December 2025) per the tables' '2025' and 'Restated 2024' column headers."
NEPI Rockcastle,NEPI Rockcastle N.V. Annual Report 2025_18 Mar_reduced.pdf,2025,2025,current,EUR,18.8014,"310, 311, 330, 357, 361, 372",no AFS-labeled file found; used newest annual/integrated report,,,"Inventory property (residential development held for sale): EUR0 (FY2025, fully sold/depleted); EUR4,227 thousand (FY2024). N/A - no traditional inventory line item (sector: REIT/shopping centre property); this minor line relates only to a residential development project, not core retail property operations",2134.6,113.533,"Trade and other receivables (consolidated Group): EUR113,533 thousand (FY2025); EUR115,947 thousand (FY2024)","Not disclosed - no import/export trade figures found. The Group did disclose letters of guarantee received from tenants (EUR163,032 thousand) and from suppliers (EUR49,575 thousand) related to ongoing developments, but these are construction/leasing guarantees, not import/export trade facilities","Cash flow statement 'Changes in working capital': EUR(13,104) thousand (FY2025) vs EUR2,655 thousand (FY2024), comprising increase in trade and other receivables EUR(19,126)k, increase in trade and other payables EUR1,795k, and decrease in inventory property EUR4,227k","NEPI Rockcastle N.V. is a REIT owning/operating shopping centres in Central and Eastern Europe (CEE), domiciled in the Netherlands, listed on JSE/Euronext Amsterdam/A2X. Reports in EUR, NOT ZAR or local CEE currencies. FY2025 = year ended 31 December 2025."
