entity_name,source_file,fiscal_year,fiscal_year_detected,data_vintage_flag,currency,fx_rate_to_zar,page_ref,file_selection_flag,revenue_zar_millions,revenue_millions,revenue,cost_of_sales_zar_millions,cost_of_sales_millions,cost_of_sales,operating_expenses,trade_receivables_zar_millions,trade_receivables_millions,trade_receivables,trade_payables_zar_millions,trade_payables_millions,trade_payables,notes
Anglo American,AA annual-report-full-2025.pdf,2025,2025,current,USD,16.3213,"129, 154, 274, 275, 277, 278, 317, 320",no AFS-labeled file found; used newest annual/integrated report; Folder contains a file referencing 'AGA' (AngloGold Ashanti's ticker) - verify this isn't misfiled.,302482.7,18533,"USD 18,533 million (continuing operations, before special items and remeasurements, FY2025 ended 31 Dec 2025; 2024: USD 17,809m). Total Group revenue including discontinued operations was USD 19,325 million.",,,"Not disclosed as a single 'cost of sales' line item. Group discloses an operating-cost breakdown for continuing operations (FY2025 vs 2024): Employee costs USD 2,288m (2,387m); Third-party commodity purchases USD 1,674m (1,814m); Consumables, maintenance and production input costs USD 4,782m (3,833m); Logistics, marketing and selling costs USD 2,159m (2,291m); Royalties USD 208m (209m); D&A USD 2,301m (2,188m).","Other operating expenses: USD 1,157 million (2024: USD 1,041 million), FY2025 continuing operations.",66215.5,4057,"USD 4,057 million total 'Trade and other receivables' (current USD 3,748m + non-current USD 309m), FY2025 (2024: USD 3,660m).",80888.4,4956,"USD 4,956 million total 'Trade and other payables' (current USD 4,879m + non-current USD 77m), FY2025 (2024: USD 6,282m).","Reports in USD, not ZAR/GBP, despite UK primary listing. FY2025 figures separate discontinued operations (Steelmaking Coal, Nickel held for sale; Valterra Platinum demerged in 2025); continuing-operations figures used above unless noted. No single 'cost of sales' line or geographic (destination) revenue split found in this excerpt."
AngloGold Ashanti,ERDEC25.pdf,2025,,current,USD,16.3213,"6, 19, 20, 21, 22, 23, 39",no AFS-labeled file found; used newest annual/integrated report,161466.6,9893,"USD 9,893 million (Revenue from product sales, Group Income Statement, FY2025 ended 31 Dec 2025; 2024: USD 5,793m). On a consolidated 'Gold income' basis (excl. equity-accounted Kibali JV) revenue was USD 9,730m (2024: USD 5,673m).",81965.6,5022,"USD 5,022 million (managed operations / consolidated basis per Group Income Statement, FY2025; 2024: USD 3,726m). Including attributable share of the Kibali joint venture, 'Group' cost of sales was USD 5,454m (2024: USD 4,106m).","No single 'operating expenses' line; closest equivalents (FY2025 vs 2024): Corporate administration, marketing and related expenses USD 138m (118m); Other expenses USD 248m (144m).",10967.9,672,"USD 672 million total 'Trade, other receivables and other assets' (current USD 423m + non-current USD 249m), FY2025 (2024: USD 569m). Contingent consideration is now shown as a separate line (USD 60m non-current + USD 62m current).",16566.1,1015,"USD 1,015 million total 'Trade and other payables' (current USD 1,001m + non-current USD 14m), FY2025 (2024: USD 963m).","Reports in USD, not ZAR, despite JSE secondary listing and South African heritage. Source document is the Q4/FY2025 Earnings Release (not the full Annual Report/20-F); items like detailed FX sensitivity, import/export disclosures, and working-capital cash-flow breakdown were 'not disclosed' here but may exist in the full filing."
Aspen Pharmacare,Aspen_FY2025_AFS.pdf,2025,2025,current,ZAR,1.0,"15, 16, 19, 47, 49, 51, 73, 75, 79, 88",,43363.0,43363,"R43,363 million (ZAR), FY2025 ended 30 June 2025 (2024: R44,706m).",24234.0,24234,"R24,234 million, FY2025 (2024: R25,252m).","Other operating expenses: R7,985 million (2024: R3,861m); also Selling and distribution expenses R7,039m (6,481m) and Administrative expenses R3,953m (3,657m), FY2025.",10646.0,10646,"Net trade receivables R10,646 million (gross R11,166m less allowance for credit losses R520m); total 'Receivables and other current assets' R13,339 million, FY2025 (2024: net trade receivables R10,299m; total R12,664m).",10675.0,10675,"R10,675 million (current 'Trade and other payables'), FY2025 (2024: R10,347m).","Reports in ZAR (South African rand), consistent with JSE primary listing. Figures are Group (consolidated), for the year ended 30 June 2025. Geographic revenue split not found in this excerpt; a currency-mix proxy was used instead."
BHP Group,5. 2025 Annual Report.pdf,2025,2025,current,USD,16.3213,"74, 119, 121, 122, 127, 137, 161, 162",no AFS-labeled file found; used newest annual/integrated report,836662.5,51262,"USD 51,262 million, FY2025 ended 30 June 2025 (2024: USD 55,658m; 2023: USD 53,817m).",,,"Not disclosed as a single 'cost of sales' line. BHP discloses 'Expenses excluding net finance costs' of USD 32,319 million for FY2025 (2024: USD 36,750m), comprising components including Raw materials and consumables used USD 5,950m, Freight and transportation USD 2,029m, External services USD 5,726m, Third-party commodity purchases USD 1,991m, Government royalties paid and payable USD 2,608m, Net foreign exchange losses USD 85m, plus employee benefits and D&A.","No single 'operating expenses' line disclosed; the aggregate 'Expenses excluding net finance costs' was USD 32,319 million for FY2025 (2024: USD 36,750m) - see cost_of_sales breakdown for components.",69414.5,4253,"USD 4,253 million total 'Trade and other receivables' (current USD 4,116m + non-current USD 137m), FY2025 (2024: USD 5,339m).",108863.1,6670,"USD 6,670 million total 'Trade and other payables' (current USD 6,637m + non-current USD 33m), FY2025 (2024: USD 6,764m).","Reports in USD, not AUD, despite ASX primary listing and Australian domicile. Figures are for BHP Group (consolidated), year ended 30 June 2025."
Bid Corporation,Bidcorp-2025-AFS.pdf,2025,2025,current,ZAR,1.0,"27, 28, 35, 36, 66, 67",,235591.2,235591.182,"R 235,591,182 thousand (approx R235.6 billion), FY2025 (year ended 30 June 2025); 2024: R225,905,337 thousand",177918.1,177918.144,"Cost of revenue: R (177,918,144) thousand, FY2025; 2024: R (171,444,523) thousand","R (44,720,465) thousand, FY2025 (comprising sales & distribution costs R36,383,722k, administration costs R8,124,314k, impairment of trade receivables R159,750k, other costs R52,679k); 2024: R (42,284,017) thousand",25275.7,25275.65,"R 25,275,650 thousand, FY2025; 2024: R23,524,599 thousand",36389.8,36389.836,"R 36,389,836 thousand, FY2025; 2024: R33,261,750 thousand","Consolidated Bidcorp Group figures, reported in South African Rand (R'000), FYE 30 June 2025. Comprehensive disclosure found in excerpt; no material gaps identified for requested fields."
Clicks Group,Clicks_FY2025_AFS.pdf,2025,2025,current,ZAR,1.0,"10, 13, 14, 26, 41, 42, 43",,51427.0,51426.992,"R 51,426,992 thousand (approx R51.4 billion) total revenue, FY2025 (year ended 31 August 2025; 2024: R48,609,808 thousand); of which 'Turnover' (sale of goods/services) was R47,828,079 thousand (2024: R45,437,640 thousand)",36428.4,36428.426,"Cost of merchandise sold: R (36,428,426) thousand, FY2025 (2024: R(34,805,221) thousand)","Expenses: R (10,182,338) thousand, FY2025 (comprising depreciation & amortisation R1,811,683k, occupancy costs R212,044k, employment costs R5,282,102k, other costs R2,873,327k, IFRS9 ECL impairment allowance R3,182k); 2024: R(9,542,869) thousand",3139.5,3139.516,"Trade and other receivables: R 3,139,516 thousand, FY2025 (2024: R3,057,282 thousand)",10912.5,10912.537,"Trade and other payables: R 10,912,537 thousand, FY2025 (2024: R10,030,903 thousand)","Consolidated Clicks Group figures, reported in South African Rand (R'000), FYE 31 August 2025. Business is predominantly domestic (South Africa) with minor, non-material foreign operations; hence limited geographic revenue/foreign revenue % disclosure versus more internationally diversified peers."
Glencore,Glencore 2025 Annual Report.pdf,2025,2025,current,USD,16.3213,"46, 47, 140, 141, 146, 168, 169, 188, 207, 208, 214, 234",no AFS-labeled file found; used newest annual/integrated report,4040093.0,247535,"US$ 247,535 million, FY2025 (year ended 31 December 2025; 2024: US$230,944 million) - comprising 'Sale of commodities' US$244,873m and 'Freight, storage and other services' US$2,662m",3944401.2,241672,"Cost of goods sold: US$ (241,672) million, FY2025 (2024: US$(224,294) million)","Selling and administrative expenses: US$ (2,378) million, FY2025 (2024: US$(2,023) million) - closest equivalent line; Glencore's income statement is structured as Revenue less Cost of goods sold less Net expected credit losses (US$(150)m) less Selling & administrative expenses",388871.3,23826,"'Accounts receivable' (current) total: US$ 23,826 million, FY2025 (2024: US$17,781 million). Within this, the narrower 'Trade receivables' (amortised cost) line is US$2,279 million (2024: US$3,083 million), plus 'Trade receivables with derivative features' (provisionally-priced commodity sales) of US$11,149 million (2024: US$7,795 million), plus margin calls, associate receivables, advances/loans etc.",581266.8,35614,"'Accounts payable' (current) total: US$ 35,614 million, FY2025 (2024: US$28,968 million). Within this, the narrower 'Trade payables' (amortised cost) line is US$5,551 million (2024: US$4,905 million), plus 'Trade payables with derivative features' of US$24,986 million (2024: US$19,967 million)","Reports in US dollars (US$ million), FYE 31 December 2025 - NOT ZAR, despite Glencore's significant South African (coal, ferroalloys) operations. As a global commodity trading/mining group, 'trade receivables' and 'trade payables' balances are dominated by large provisionally-priced/derivative-linked commodity balances rather than conventional simple trade debtors/creditors - both the broad 'Accounts receivable/payable' totals and the narrower amortised-cost subtotals are provided above for clarity."
Gold Fields,AFR2025.pdf,2025,2025,current,USD,16.3213,"16-21, 29-31, 58-70, 72-74, 77, 78, 80, 81, 96-99, 102, 104, 112, 113, 118-124, 132-135, 143-146, 151-155, 161-165",,142832.6,8751.3,"USD 8,751.3 million for the year ended 31 December 2025 (2024: USD 5,201.6m; 2023: USD 4,500.7m). Comprised of Gold USD 8,406.5m, Copper USD 228.1m (Peru only), Silver USD 116.7m (mainly Salares Norte). Growth driven by the gold price run and the Gold Road (Sept 2025) and Osisko/Windfall (Oct 2024) acquisitions.",60075.4,3680.8,"Total cost of sales: USD 3,680.8 million for FY2025 (2024: USD 2,843.7m; 2023: USD 2,747.0m). Breakdown: cost of sales before gold inventory change and D&A USD 2,699.1m, gold inventory change USD 61.3m, amortisation and depreciation USD 920.4m.","No single IFRS 'operating expenses' line. Closest equivalent is cost of sales (see above). Other separately disclosed operating-type cost lines, FY2025: Exploration expense USD 297.8m, Other costs net USD 134.8m, Restructuring costs USD 10.3m, Ghana expected credit loss USD 66.0m, Share-based payments USD 25.4m, Long-term incentive plan USD 43.2m.",6213.5,380.7,"Trade and other receivables (total, current): USD 380.7 million at 31 Dec 2025 (2024: USD 337.8m). Within this, trade receivables specifically (gold sales USD 101.9m + copper concentrate USD 31.0m + other USD 11.2m) = USD 144.1 million (2024: USD 152.7m).",14821.4,908.1,"Trade and other payables (total, current): USD 908.1 million at 31 Dec 2025 (2024: USD 651.1m). Within this, trade payables specifically = USD 225.0 million (2024: USD 151.7m).","CORRECTED 2026-08-09: this replaces a prior extraction that used a stale FY2023 filing due to a file-selection bug (bare 'AFR2025.pdf'/'AFR2024.pdf' filenames weren't matching the AFS-detection regex; fixed in extract_financials.py). This extraction is confirmed genuinely FY2025 (source 'AFR2025.pdf', statements explicitly captioned 'for the year ended 31 December 2025'). Revenue of USD 8,751.3 million exactly matches an independently-known reference figure used to validate this correction. FY2025 results reflect a substantial gold price increase plus consolidation of Gold Road (100% acquired 26 Sept 2025, Australia/Gruyere) and Osisko/Windfall (100% acquired 25 Oct 2024, Canada, still pre-revenue). Group reports in USD; parent company separate financial statements report in ZAR (relevant for fx_gains_losses/fx_exposure_notes, where the parent-only Rand FX note is distinguished from the Group USD note). 'Operating expenses' is not a distinct IFRS line item - cost of sales is the closest equivalent."
MTN Group,17.03.2025 - MTN Group - AFS.pdf,2025,2025,current,ZAR,1.0,PDF pages 17-21 of 'MTN FY25 Integrated Report low res (28042026).pdf' (internal report pages 15-19).,,226707.0,226707,"MTN Group reported total revenue of R226,707 million for FY2025 (year ended 31 December 2025), up 20.6% from R188,001 million in FY2024 (restated), representing a 20.4% increase on a constant currency basis. Service revenue specifically was R218,500 million in FY2025 versus R177,756 million in FY2024, a 22.9% increase, driven by growth in data (+36.4%), voice (+11.2%), fintech (+23.2%) and digital (+16.1%). (Source: Key financial tables, Income statement, PDF page 20.)",,,"No single 'cost of sales' line is disclosed. MTN's income statement moves from Revenue directly to 'EBITDA before once-off items' of R98,530 million (2025) vs R60,095 million (2024), implying an aggregate cost base of roughly R128,177 million for 2025, but this is not itemized into cost-of-sales components in this excerpt. (Source: Income statement table, PDF page 20.)","Not disclosed as a single aggregate line in this excerpt. Depreciation, amortisation and impairment of R(39,024) million (2025) vs R(36,013) million (2024) is shown separately below EBITDA. (Source: Income statement table, PDF page 20.)",,,"Not disclosed in this excerpt. Receivables-type items are grouped under 'Other current assets' (R93,359 million in 2025 vs R81,386 million in 2024), with no separate trade receivables line broken out. (Source: Statement of financial position, PDF page 20.)",,,"Not disclosed as a standalone figure. Trade payables appear embedded within 'Other liabilities' of R89,469 million (2025) vs R75,984 million (2024), up 17.7%, attributed partly to 'increase in trade and other payables across the Group'. (Source: Statement of financial position and commentary, PDF page 20.)","CORRECTED FY2025 (replaces a prior entry that used a stale FY2024 AFS). Source is MTN's FY2025 Integrated Report (CFO Q&A plus summarized 'Key financial tables'), not the full Annual Financial Statements, so balance-sheet detail (trade receivables/payables, inventory) is not broken out here - it's aggregated into 'Other current assets'/'Other liabilities'. All figures confirmed as genuine FY2025 (year ended 31 December 2025) per the tables' '2025' and 'Restated 2024' column headers."
NEPI Rockcastle,NEPI Rockcastle N.V. Annual Report 2025_18 Mar_reduced.pdf,2025,2025,current,EUR,18.8014,"310, 311, 330, 357, 361, 372",no AFS-labeled file found; used newest annual/integrated report,11738.6,624.348,"EUR 624,348 thousand gross rental income (FY2025, year ended 31 Dec 2025) [FY2024: EUR566,069k]. Including service charge income (EUR288,556k), revenue from energy activity (EUR11,262k) and revenue from sales of inventory property (EUR6,497k), combined revenue-type items total approximately EUR930,663 thousand",,,"No traditional 'cost of sales' line. Closest equivalents (FY2025): Property operating expenses EUR(304,429) thousand; Costs of the energy activity EUR(1,627) thousand; Cost of sales of inventory property EUR(4,439) thousand","Administrative expenses: EUR(45,042) thousand (FY2025) vs EUR(35,193) thousand (FY2024)",2134.6,113.533,"Trade and other receivables (consolidated Group): EUR113,533 thousand (FY2025); EUR115,947 thousand (FY2024)",3370.9,179.289,"Trade and other payables (consolidated Group): EUR179,289 thousand (FY2025); EUR187,084 thousand (FY2024)","NEPI Rockcastle N.V. is a REIT owning/operating shopping centres in Central and Eastern Europe (CEE), domiciled in the Netherlands, listed on JSE/Euronext Amsterdam/A2X. Reports in EUR, NOT ZAR or local CEE currencies. FY2025 = year ended 31 December 2025."
