entity_name,canonical,fiscal_year,source_file,currency,fx_rate_to_zar,fx_rate_date,revenue_m,revenue_zar_m,cost_of_sales_m,cost_of_sales_zar_m,operating_expenses_m,operating_expenses_zar_m,trade_receivables_m,trade_receivables_zar_m,trade_payables_m,trade_payables_zar_m,inventory_m,inventory_zar_m,foreign_revenue_pct,fx_gains_losses_m,fx_gains_losses_zar_m,fiscal_year_end,page_ref,notes
Anglo American,angloamerican,2024,aa-annual-report-full-2024.pdf,USD,16.3213,2026-08-07,27290,445408.3,,,27518,449129.5,3228,52685.2,6092,99429.4,6439,105092.9,,-42,-685.5,31 December 2024,"236, 237, 240, 244, 267, 268","No single 'cost of sales' line disclosed, so aggregate 'Operating costs' total ($27,518m, incl. special items) used as operating_expenses. Two distinct net FX lines exist (-$42m within operating costs, +$58m within financing costs); the operating-cost figure is reported here, and foreign revenue % was not derivable from this excerpt."
Anglo American,angloamerican,2025,AA annual-report-full-2025.pdf,USD,16.3213,2026-08-07,18546,302694.8,,,17194,280628.4,4057,66215.5,4956,80888.4,3819,62331.0,,-77,-1256.7,31 December 2025,Consolidated income statement; Consolidated balance sheet; operating cost note,"No single cost-of-sales line; operating_expenses uses the current report's aggregate operating costs. Receivables, payables and inventory combine current and non-current balances. FX uses net foreign exchange losses."
AngloGold Ashanti,angloashanti,2024,AGA-AR24.pdf,USD,16.3213,2026-08-07,5793,94549.3,3726,60813.2,,,374,6104.2,957,15619.5,1213,19797.7,,-87,-1420.0,31 December 2024,"148, 150, 156-157, 195, 205","fx_gains_losses (-87) is a combined 'Foreign exchange and fair value adjustments' line, not a pure FX-only figure, and foreign_revenue_pct is null because revenue is disclosed by mine-operating region (Africa/Australia/Americas), not by home-vs-foreign customer domicile."
AngloGold Ashanti,angloashanti,2025,ERDEC25.pdf,USD,16.3213,2026-08-07,9893,161466.6,5022,81965.6,,,,,1015,16566.1,1251,20417.9,,-41,-669.2,31 December 2025,2025 earnings release financial statements,"Revenue uses 'Revenue from product sales'. cost_of_sales uses managed operations, matching the FY2024 convention. Inventory combines non-current and current balances. Trade receivables are not separately identifiable from the combined receivables line in this source, so left null. FX uses 'Foreign exchange and fair value adjustments'."
Aspen Pharmacare,aspen,2024,FY-2024-Annual-Results-Presentation.pdf,ZAR,1.0,,44706,44706.0,25252,25252.0,,,12664,12664.0,10347,10347.0,18002,18002.0,,-64,-64.0,30 June 2024,"6, 17, 18, 37, 42, 48","Presentation deck (results announcement), not a full AFS; trade_receivables is approximated from the 'Receivables and Other current assets' working-capital line rather than a distinct 'trade receivables' statement-of-financial-position line. Exact fiscal year-end date is not printed in the document; 30 June 2024 is inferred from Aspen's known FYE and 'FY 2024' labeling."
Aspen Pharmacare,aspen,2025,Aspen_FY2025_AFS.pdf,ZAR,1.0,,43363,43363.0,24234,24234.0,,,13339,13339.0,10675,10675.0,18009,18009.0,,8,8.0,30 June 2025,Consolidated statement of comprehensive income; statement of financial position; financial instrument notes,trade_receivables follows the FY2024 convention and uses 'Receivables and other current assets'. FX is the disclosed net foreign exchange gain.
BHP Group,bhp,2024,240827_bhpannualreport2024.pdf,USD,16.3213,2026-08-07,55658,908410.9,,,36750,599807.8,5169,84364.8,6719,109662.8,7039,114885.6,95.7,-23,-375.4,30 June 2024,"136, 141-143, 149, 155","BHP discloses expenses by nature (not by function), so no distinct 'cost of sales' line exists; operating_expenses uses the 'Total expenses' aggregate from note 5. Foreign revenue % is derived by treating Australia (home country, US$2,393M of US$55,658M) as domestic revenue per the geographic revenue-by-customer-location table."
BHP Group,bhp,2025,5. 2025 Annual Report.pdf,USD,16.3213,2026-08-07,51262,836662.5,,,32319,527488.1,4253,69414.5,6670,108863.1,6978,113890.0,,-85,-1387.3,30 June 2025,Consolidated Income Statement; balance sheet notes 8-10; expense note,"BHP reports expenses by nature, so operating_expenses uses the disclosed Total expenses aggregate. Receivables, payables and inventory combine current and non-current balances, consistent with the FY2024 extraction. FX uses net foreign exchange losses."
Bid Corporation,bid,2024,Bidcorp-2024-Results.pdf,ZAR,1.0,,225905.3,225905.3,171444.5,171444.5,,,23524.6,23524.6,33261.8,33261.8,17007.7,17007.7,,,,30 June 2024,"pages 3, 43","Source is a results announcement/investor presentation, not the full AFS, though the extracted summary statements are marked 'Audited'. No standalone net FX gain/loss line or South Africa-specific revenue split is disclosed."
Bid Corporation,bid,2025,Bidcorp-2025-AFS.pdf,ZAR,1.0,,235591.182,235591.2,177918.144,177918.1,,,25275.65,25275.7,36389.836,36389.8,19262.68,19262.7,,-8.071,-8.1,30 June 2025,Consolidated income statement; consolidated statement of financial position; operating expense notes,Group consolidated AFS. cost_of_sales uses 'Cost of revenue'. trade_receivables and trade_payables follow the same broad balance-sheet convention as the FY2024 record ('trade and other'). FX uses the disclosed foreign exchange losses on transactions.
