entity_name,canonical,fiscal_year,currency,fx_rate_to_zar,fx_rate_date,revenue_m,revenue_zar_m,cost_of_sales_m,cost_of_sales_zar_m,operating_expenses_m,operating_expenses_zar_m,trade_receivables_m,trade_receivables_zar_m,trade_payables_m,trade_payables_zar_m,inventory_m,inventory_zar_m,foreign_revenue_pct,fx_gains_losses_m,fx_gains_losses_zar_m
Anglo American,angloamerican,2024,USD,16.3213,2026-08-07,27290,445408.3,,,27518,449129.5,3228,52685.2,6092,99429.4,6439,105092.9,,-42,-685.5
Anglo American,angloamerican,2025,USD,16.3213,2026-08-07,18533,302482.7,,,,,4057,66215.5,4956,80888.4,3819,62331.0,,,
AngloGold Ashanti,angloashanti,2024,USD,16.3213,2026-08-07,5793,94549.3,3726,60813.2,,,374,6104.2,957,15619.5,1213,19797.7,,-87,-1420.0
AngloGold Ashanti,angloashanti,2025,USD,16.3213,2026-08-07,9893,161466.6,5022,81965.6,,,672,10967.9,1015,16566.1,1251,20417.9,,,
Aspen Pharmacare,aspen,2024,ZAR,1.0,,44706,44706.0,25252,25252.0,,,12664,12664.0,10347,10347.0,18002,18002.0,,-64,-64.0
Aspen Pharmacare,aspen,2025,ZAR,1.0,,43363,43363.0,24234,24234.0,,,10646,10646.0,10675,10675.0,18009,18009.0,,,
BHP Group,bhp,2024,USD,16.3213,2026-08-07,55658,908410.9,,,36750,599807.8,5169,84364.8,6719,109662.8,7039,114885.6,95.7,-23,-375.4
BHP Group,bhp,2025,USD,16.3213,2026-08-07,51262,836662.5,,,,,4253,69414.5,6670,108863.1,6978,113890.0,,,
Bid Corporation,bid,2024,ZAR,1.0,,225905.3,225905.3,171444.5,171444.5,,,23524.6,23524.6,33261.8,33261.8,17007.7,17007.7,,,
Bid Corporation,bid,2025,ZAR,1.0,,235591.182,235591.2,177918.144,177918.1,,,25275.65,25275.7,36389.836,36389.8,19262.68,19262.7,,,
Clicks Group,clicks,2024,ZAR,1.0,,48609.808,48609.8,34805.221,34805.2,,,3057.282,3057.3,10030.903,10030.9,7063.28,7063.3,,-2.089,-2.1
Clicks Group,clicks,2025,ZAR,1.0,,51426.992,51427.0,36428.426,36428.4,,,3139.516,3139.5,10912.537,10912.5,7818.704,7818.7,,,
Glencore,glencore,2024,USD,16.3213,2026-08-07,230944,3769306.3,,,,,17781,290209.0,28968,472795.4,30097,491222.2,,-445,-7263.0
Glencore,glencore,2025,USD,16.3213,2026-08-07,247535,4040093.0,241672,3944401.2,,,23826,388871.3,35614,581266.8,33955,554189.7,,,
Gold Fields,gold fields,2024,USD,16.3213,2026-08-07,5201.6,84896.9,2843.7,46412.9,,,337.8,5513.3,651.1,10626.8,1049.1,17122.7,87.57,-6.6,-107.7
Gold Fields,gold fields,2025,USD,16.3213,2026-08-07,8751.3,142832.6,3680.8,60075.4,,,380.7,6213.5,908.1,14821.4,1156.0,18867.4,,,
MTN Group,mtn,2024,ZAR,1.0,,188001,188001.0,,,,,34304,34304.0,57942,57942.0,1213,1213.0,72.02,-18879,-18879.0
MTN Group,mtn,2025,ZAR,1.0,,226707,226707.0,,,,,,,,,,,79.2,,
NEPI Rockcastle,nepi,2024,EUR,18.8014,2026-08-07,853.36,16044.4,,,,,115.947,2180.0,187.084,3517.4,4.227,79.5,,-0.158,-3.0
NEPI Rockcastle,nepi,2025,EUR,18.8014,2026-08-07,624.348,11738.6,,,,,113.533,2134.6,179.289,3370.9,,,,,
Naspers,naspe,2024,USD,16.3213,2026-08-07,6431,104962.3,3966,64730.3,,,310,5059.6,427,6969.2,355,5794.1,,-1644,-26832.2
Naspers,naspe,2025,USD,16.3213,2026-08-07,7181,117203.3,4289,70002.1,,,241,3933.4,365,5957.3,321,5239.1,85.06,36,587.6
Naspers,naspe,2026,USD,16.3213,2026-08-07,10848,177053.5,6027,98368.5,,,608,9923.4,1170,19095.9,347,5663.5,88.88,-413,-6740.7
OUTsurance Group,out,2024,ZAR,1.0,,31913,31913.0,,,,,,,,,,,58.9,-5,-5.0
OUTsurance Group,out,2025,ZAR,1.0,,37131,37131.0,,,,,4,4.0,12,12.0,,,,,
Pepkor Holdings,pepkor,2024,ZAR,1.0,,85136,85136.0,52527,52527.0,,,10987,10987.0,16771,16771.0,17509,17509.0,15.26,-643,-643.0
Pepkor Holdings,pepkor,2025,ZAR,1.0,,95340,95340.0,57388,57388.0,,,14606,14606.0,16890,16890.0,18618,18618.0,,,
Prosus,prosus,2024,USD,16.3213,2026-08-07,5467,89228.5,3245,52962.6,,,278,4537.3,365,5957.3,268,4374.1,,-29,-473.3
Prosus,prosus,2025,USD,16.3213,2026-08-07,6170,100702.4,3546,57875.3,,,202,3296.9,318,5190.2,255,4161.9,,,
Prosus,prosus,2026,USD,16.3213,2026-08-07,9705,158398.2,5198,84838.1,,,570,9303.1,1109,18100.3,271,4423.1,,2797,45650.7
Sanlam,sanlam,2024,ZAR,1.0,,,,,,,,,,,,,,,,
Sanlam,sanlam,2025,ZAR,1.0,,102903,102903.0,,,,,18629,18629.0,36891,36891.0,,,1.94,-4275,-4275.0
Shaftesbury Capital plc,shaftesbury,2024,GBP,21.9424,2026-08-07,227.1,4983.1,,,,,30.4,667.0,84.8,1860.7,,,0,,
Shaftesbury Capital plc,shaftesbury,2025,GBP,21.9424,2026-08-07,216.3,4746.1,,,,,155.1,3403.3,98.1,2152.5,,,,,
