canonical,target_year,source_folder,chosen_file,flag,excerpt_file,excerpt_pages
angloamerican,2024,hackathon-finreports-2024/anglo,aa-annual-report-full-2024.pdf,no AFS-labeled file found; used newest annual/integrated report,angloamerican_2024_excerpt.txt,45
angloashanti,2024,hackathon-finreports-2024/ashanti,AGA-AR24.pdf,no AFS-labeled file found; used newest annual/integrated report,angloashanti_2024_excerpt.txt,90
aspen,2024,hackathon-finreports-2024/aspen,FY-2024-Annual-Results-Presentation.pdf,no AFS-labeled file found; used newest annual/integrated report,aspen_2024_excerpt.txt,0
bhp,2024,hackathon-finreports-2024/bhp,240827_bhpannualreport2024.pdf,no AFS-labeled file found; used newest annual/integrated report,bhp_2024_excerpt.txt,42
bid,2024,hackathon-finreports-2024/bidcorp,Bidcorp-2024-Results.pdf,no AFS-labeled file found; used newest annual/integrated report,bid_2024_excerpt.txt,3
bidvest group,2024,hackathon-finreports-2024/bidvest,fy2024-booklet.pdf,no AFS-labeled file found; used newest annual/integrated report,bidvest_group_2024_excerpt.txt,13
clicks,2024,hackathon-finreports-2024/clicks,CGL-YE24-Annual-financial-statements.pdf,,clicks_2024_excerpt.txt,40
glencore,2024,hackathon-finreports-2024/glencore,GLEN-2024-Annual-Report.pdf,no AFS-labeled file found; used newest annual/integrated report,glencore_2024_excerpt.txt,78
gold fields,2024,hackathon-finreports-2024/gold fields,afs-2024.pdf,,gold_fields_2024_excerpt.txt,89
mtn,2024,hackathon-finreports-2024/mtn,MTN-Group-FY-24-Annual-Financial-Statements.pdf,,mtn_2024_excerpt.txt,79
naspe,2024,hackathon-finreports-2024/naspers,annual-financial-statements.pdf,,naspe_2024_excerpt.txt,5
nepi,2024,hackathon-finreports-2024/nepi,NEPI_Rockcastle_Annual_Report_2024.pdf,no AFS-labeled file found; used newest annual/integrated report,nepi_2024_excerpt.txt,41
out,2024,hackathon-finreports-2024/outsurance,ogl_annual-financial-statements_2024.pdf,,out_2024_excerpt.txt,52
pepkor,2024,hackathon-finreports-2024/pepkor,Pepkor-annual-financial-statements-2024.pdf,,pepkor_2024_excerpt.txt,65
prosus,2024,hackathon-finreports-2024/prosus,finacial-statements.pdf,no AFS-labeled file found; used newest annual/integrated report,prosus_2024_excerpt.txt,69
sanlam,2024,hackathon-finreports-2024/sanlam,annual-results-presentation-2024.pdf,no AFS-labeled file found; used newest annual/integrated report; Latest AFS-labeled file is 2023; FY2025 only available as Integrated Report / unclear 'FY24.pdf'.,sanlam_2024_excerpt.txt,0
shaftesbury,2024,hackathon-finreports-2024/shaftesbury,fy24-press-release.pdf,no AFS-labeled file found; used newest annual/integrated report,shaftesbury_2024_excerpt.txt,9
shoprite,2024,hackathon-finreports-2024/shoprite,shp-afs-2024.pdf,,shoprite_2024_excerpt.txt,67
