rank,entity_name,sector,data_vintage_flag,top_down_reliability,total_internal_zar_m,total_wallet_zar_m,blended_share_pct,total_gap_zar_m
1,Glencore,mining,current,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",7849.267800414198,9508822.0,0.1,9500972.7
2,BHP Group,mining,current,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",20315.123914162803,1128830.1,1.8,1108515.0
3,Anglo American,mining,current,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",9186.356661362788,511917.6,1.8,502731.2
4,Shoprite Holdings,consumer,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",15488.6590428,505669.0,3.1,490180.3
5,Bid Corporation,consumer,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",20972.36143808,494437.50000000006,4.2,473465.1
6,MTN Group,telecoms,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",18089.10008948,406258.944,4.5,388169.8
7,Naspers,tech,current,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",3557.9856756299996,302028.32698,1.2,298470.3
8,AngloGold Ashanti,mining,current,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",3346.1367399740957,291384.10000000003,1.1,288038.0
9,Vodacom Group,telecoms,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",3341.05427263,288987.2755,1.2,285646.2
10,Valterra Platinum,mining,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",369.4840727251124,263051.0,0.1,262681.5
11,Gold Fields,mining,current,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",3327.5561787153783,242810.3,1.4,239482.7
12,Prosus,tech,current,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",3938.7163693499997,171226.7,2.3,167288.0
13,Pepkor Holdings,consumer,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",42383.64976136,202842.0,20.9,160458.4
14,Sanlam,insurance,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",22064.70689093,160419.3182,13.8,138354.6
15,Clicks Group,consumer,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",1267.0788522399998,109726.09999999999,1.2,108459.0
16,Aspen Pharmacare,industrials_pharma,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",5497.525537629999,106927.0,5.1,101429.5
17,OUTsurance Group,insurance,current,"moderate - ZAR reporter, financials are for the SA-listed entity itself",1558.34723603,37147.0,4.2,35588.7
18,NEPI Rockcastle,real_estate,current,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",356.49816081,17244.1,2.1,16887.6
19,Shaftesbury Capital plc,real_estate,current,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",131.76672392,10301.900000000001,1.3,10170.1
20,The Bidvest Group,industrials_pharma,current,insufficient - Group revenue not disclosed in source AFS; blended total not computed,7808.86254454,,,
