entity_name,fiscal_year,pillar,pillar_key,internal_spend_zar,transaction_count,window_start,window_end,window_days,partial_window
Anglo American,2024,Foreign / Cross-Border,foreign_cross_border,1580250709.3799999,2167,2024-01-01,2024-12-31,366,False
Anglo American,2024,Trade & Working Capital,trade_working_capital,877891595.87,381,2024-01-01,2024-12-31,366,False
Anglo American,2024,Transactional Banking,transactional_banking,9357267843.397358,33737,2024-01-01,2024-12-31,366,False
Anglo American,2025,Foreign / Cross-Border,foreign_cross_border,1205528246.5900002,1778,2025-01-01,2025-12-31,365,False
Anglo American,2025,Trade & Working Capital,trade_working_capital,658734619.87,287,2025-01-01,2025-12-31,365,False
Anglo American,2025,Transactional Banking,transactional_banking,7675305136.527518,28345,2025-01-01,2025-12-31,365,False
AngloGold Ashanti,2024,Foreign / Cross-Border,foreign_cross_border,849746021.08,1483,2024-01-01,2024-12-31,366,False
AngloGold Ashanti,2024,Trade & Working Capital,trade_working_capital,491125521.41999996,288,2024-01-01,2024-12-31,366,False
AngloGold Ashanti,2024,Transactional Banking,transactional_banking,1776898985.976956,7605,2024-01-01,2024-12-31,366,False
AngloGold Ashanti,2025,Foreign / Cross-Border,foreign_cross_border,901207403.01,1557,2025-01-01,2025-12-31,365,False
AngloGold Ashanti,2025,Trade & Working Capital,trade_working_capital,419427730.92,264,2025-01-01,2025-12-31,365,False
AngloGold Ashanti,2025,Transactional Banking,transactional_banking,1787474976.4118857,7874,2025-01-01,2025-12-31,365,False
Aspen Pharmacare,2024,Foreign / Cross-Border,foreign_cross_border,1439253945.85,3750,2023-07-01,2024-06-30,366,False
Aspen Pharmacare,2024,Trade & Working Capital,trade_working_capital,394815032.97,356,2023-07-01,2024-06-30,366,False
Aspen Pharmacare,2024,Transactional Banking,transactional_banking,3095743218.0299997,33893,2023-07-01,2024-06-30,366,False
Aspen Pharmacare,2025,Foreign / Cross-Border,foreign_cross_border,1370773631.0099998,3769,2024-07-01,2025-06-30,365,False
Aspen Pharmacare,2025,Trade & Working Capital,trade_working_capital,369167494.88,345,2024-07-01,2025-06-30,365,False
Aspen Pharmacare,2025,Transactional Banking,transactional_banking,3038965452.65,34226,2024-07-01,2025-06-30,365,False
BHP Group,2024,Foreign / Cross-Border,foreign_cross_border,2083260326.9899998,2309,2023-07-01,2024-06-30,366,False
BHP Group,2024,Trade & Working Capital,trade_working_capital,1204214139.0300002,418,2023-07-01,2024-06-30,366,False
BHP Group,2024,Transactional Banking,transactional_banking,14596423841.388393,39431,2023-07-01,2024-06-30,366,False
BHP Group,2025,Foreign / Cross-Border,foreign_cross_border,2174463452.41,2411,2024-07-01,2025-06-30,365,False
