entity_name,fiscal_year,window_start,window_end,partial_window,Foreign / Cross-Border,Trade & Working Capital,Transactional Banking,total_internal_spend_zar
Anglo American,2024,2024-01-01,2024-12-31,False,1580250709.3799999,877891595.87,9357267843.397358,11815410148.647358
Anglo American,2025,2025-01-01,2025-12-31,False,1205528246.5900002,658734619.87,7675305136.527518,9539568002.987518
AngloGold Ashanti,2024,2024-01-01,2024-12-31,False,849746021.08,491125521.41999996,1776898985.976956,3117770528.476956
AngloGold Ashanti,2025,2025-01-01,2025-12-31,False,901207403.01,419427730.92,1787474976.4118857,3108110110.3418856
Aspen Pharmacare,2024,2023-07-01,2024-06-30,False,1439253945.85,394815032.97,3095743218.0299997,4929812196.85
Aspen Pharmacare,2025,2024-07-01,2025-06-30,False,1370773631.0099998,369167494.88,3038965452.65,4778906578.54
BHP Group,2024,2023-07-01,2024-06-30,False,2083260326.9899998,1204214139.0300002,14596423841.388393,17883898307.408394
BHP Group,2025,2024-07-01,2025-06-30,False,2174463452.41,1278706407.09,15134861552.116905,18588031411.616905
Bid Corporation,2024,2023-07-01,2024-06-30,False,3964725873.0299997,1607745023.54,9109760251.150002,14682231147.720001
Bid Corporation,2025,2024-07-01,2025-06-30,False,5181307317.13,1964199815.46,11209239149.210001,18354746281.800003
Clicks Group,2024,2023-09-01,2024-08-31,False,941830171.8599999,89982502.10000001,188665645.39,1220478319.35
Clicks Group,2025,2024-09-01,2025-08-31,False,1034949930.79,76274371.57,202535908.02,1313760210.38
Glencore,2024,2024-01-01,2024-12-31,False,2297123194.34,1162932340.9099998,3942974120.832519,7403029656.08252
Glencore,2025,2025-01-01,2025-12-31,False,2410043842.85,1029595873.09,4292625043.112292,7732264759.052292
Gold Fields,2024,2024-01-01,2024-12-31,False,856821421.48,537170675.79,1559149631.8945987,2953141729.1645985
Gold Fields,2025,2025-01-01,2025-12-31,False,963885343.37,526330650.36999995,1578243379.9498143,3068459373.689814
MTN Group,2024,2024-01-01,2024-12-31,False,6288829029.6,1270006626.35,10478244626.349998,18037080282.3
MTN Group,2025,2025-01-01,2025-12-31,False,6434127410.610001,1535840439.23,10356401316.56,18326369166.4
NEPI Rockcastle,2024,2024-01-01,2024-12-31,False,190483080.64000002,2659075.52,34949096.79,228091252.95000002
NEPI Rockcastle,2025,2025-01-01,2025-12-31,False,286840911.06000006,3796699.6,44101219.83,334738830.49000007
Naspers,2024,2023-07-01,2024-03-31,True,1448618628.75,32953547.980000004,1037395683.22,2518967859.95
Naspers,2025,2024-04-01,2025-03-31,False,1910780745.69,33580074.66,1340878143.9,3285238964.25
Naspers,2026,2025-04-01,2026-03-31,False,2205860573.7799997,59390575.93,1464257069.4500003,3729508219.16
OUTsurance Group,2024,2023-07-01,2024-06-30,False,414141805.09000003,39604088.65,241503733.17000002,695249626.9100001
OUTsurance Group,2025,2024-07-01,2025-06-30,False,828998615.28,84125905.6,282537714.06,1195662234.94
Pepkor Holdings,2024,2023-10-01,2024-09-30,False,6368770824.74,1453236185.72,34487226509.94999,42309233520.40999
Pepkor Holdings,2025,2024-10-01,2025-09-30,False,6820268483.08,1579227897.3600001,34269229606.280006,42668725986.72001
Prosus,2024,2023-07-01,2024-03-31,True,1511083599.79,51629535.54,1498260244.26,3060973379.59
Prosus,2025,2024-04-01,2025-03-31,False,1946962029.1599998,14581795.870000003,1946252994.2,3907796819.2299995
Prosus,2026,2025-04-01,2026-03-31,False,2081823073.67,34638117.88,1919062631.3400002,4035523822.8900003
Sanlam,2024,2024-01-01,2024-12-31,False,2772545883.7799997,200318057.63,27156505878.129997,30129369819.539997
Sanlam,2025,2025-01-01,2025-12-31,False,2739542104.31,174713804.85,22158038717.399998,25072294626.559998
Shaftesbury Capital plc,2024,2024-01-01,2024-12-31,False,107648447.78999999,6227439.37,11921838.66,125797725.82
Shaftesbury Capital plc,2025,2025-01-01,2025-12-31,False,129521585.45,5717852.23,12051344.96,147290782.64000002
Shoprite Holdings,2024,2023-07-01,2024-06-30,False,3306000311.06,1233294166.1,10375517593.32,14914812070.48
Shoprite Holdings,2025,2024-06-30,2025-06-29,False,3465615564.5600004,1473372761.28,10275161827.64,15214150153.48
The Bidvest Group,2024,2023-07-01,2024-06-30,False,1703520513.74,1159728398.19,4261991321.2000003,7125240233.13
The Bidvest Group,2025,2024-07-01,2025-06-30,False,1663002641.63,1149158737.05,4361987017.03,7174148395.71
Valterra Platinum,2024,2024-01-01,2024-12-31,False,163439276.29,131315236.45,38332581.79343733,333087094.5334374
Valterra Platinum,2025,2025-01-01,2025-12-31,False,205797108.97,125227594.8,51688276.3557158,382712980.1257158
Vodacom Group,2024,2023-07-01,2024-03-31,True,2260458097.42,117235551.63,179757731.82999998,2557451380.88
Vodacom Group,2025,2024-04-01,2025-03-31,False,2972646126.1000004,186227056.9,243999340.58,3402872523.5800004
Vodacom Group,2026,2025-04-01,2026-03-31,False,3086828168.54,157095898.91000003,249802559.87,3493726627.32
