entity_id,entity_name,sector,Foreign / Cross-Border,Trade & Working Capital,Transactional Banking,total_internal_spend_zar,Transactional Banking % of total,Trade & Working Capital % of total,Foreign / Cross-Border % of total
E01,BHP Group,mining,2082856263.1200001,1444550118.15,16787717532.892805,20315123914.162804,0.8264,0.0711,0.1025
E02,Glencore,mining,2323926326.28,1085073575.85,4440267898.284198,7849267800.414198,0.5657,0.1382,0.2961
E03,Anglo American,mining,996378910.4,632016627.58,7557961123.382788,9186356661.362787,0.8227,0.0688,0.1085
E04,AngloGold Ashanti,mining,848492695.06,515693855.49,1981950189.4240954,3346136739.9740953,0.5923,0.1541,0.2536
E05,Gold Fields,mining,899750778.16,695385751.85,1732419648.7053783,3327556178.7153783,0.5206,0.209,0.2704
E06,Valterra Platinum,mining,202511540.88,115378320.23,51594211.615112424,369484072.72511244,0.1396,0.3123,0.5481
E07,OUTsurance Group,insurance,1136816776.21,78607464.9,342922994.92,1558347236.0300002,0.2201,0.0504,0.7295
E08,Sanlam,insurance,2664890263.89,152336222.4,19247480404.64,22064706890.93,0.8723,0.0069,0.1208
E09,Shoprite Holdings,consumer,3356217810.79,1539090586.51,10593350645.5,15488659042.8,0.6839,0.0994,0.2167
E10,Bid Corporation,consumer,6165601154.27,1878698744.5,12928061539.31,20972361438.08,0.6164,0.0896,0.294
E11,Pepkor Holdings,consumer,6655520139.92,1533077406.45,34195052214.99,42383649761.36,0.8068,0.0362,0.157
E12,Clicks Group,consumer,1005496789.56,63867542.63,197714520.05,1267078852.24,0.156,0.0504,0.7936
E13,NEPI Rockcastle,real_estate,304225516.69,3904356.82,48368287.3,356498160.81,0.1357,0.011,0.8534
E14,Prosus,tech,1973314428.53,32376358.75,1933025582.07,3938716369.35,0.4908,0.0082,0.501
E15,Naspers,tech,2053358828.74,45388341.4,1459238505.49,3557985675.63,0.4101,0.0128,0.5771
E16,MTN Group,telecoms,6209646180.28,1443169160.97,10436284748.23,18089100089.48,0.5769,0.0798,0.3433
E17,Vodacom Group,telecoms,2910734803.48,180738873.83,249580595.32,3341054272.63,0.0747,0.0541,0.8712
E18,The Bidvest Group,industrials_pharma,1614257873.59,1464030785.52,4730573885.43,7808862544.540001,0.6058,0.1875,0.2067
E19,Aspen Pharmacare,industrials_pharma,1412986990.35,532422716.56,3552115830.72,5497525537.629999,0.6461,0.0968,0.257
E20,Shaftesbury Capital plc,real_estate,111379150.66,8340761.67,12046811.59,131766723.91999999,0.0914,0.0633,0.8453
