entity_id,entity_name,sector,fiscal_year,data_vintage_flag,currency,top_down_reliability,internal_pillar1_zar_m,total_wallet_pillar1_zar_m,share_pct_pillar1,gap_zar_m_pillar1,pillar1_proxy_note,gap_flag_pillar1,internal_pillar2_zar_m,total_wallet_pillar2_zar_m,share_pct_pillar2,gap_zar_m_pillar2,gap_flag_pillar2,internal_pillar3_zar_m,total_wallet_pillar3_zar_m,share_pct_pillar3,gap_zar_m_pillar3,pillar3_estimated,gap_flag_pillar3,total_internal_zar_m,total_wallet_zar_m,blended_share_pct,total_gap_zar_m
E02,Glencore,mining,2025,current,USD,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",4440.267898284198,7984494.2,0.1,7980053.9,revenue + cost_of_sales,,1085.07357585,1524327.8,0.1,1523242.7,,2323.92632628,,,,False,external estimate unavailable,7849.267800414198,9508822.0,0.1,9500972.7
E01,BHP Group,mining,2025,current,USD,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",16787.717532892802,836662.5,2.0,819874.8,revenue only - no disclosed cost_of_sales line for this sector (insurer/REIT/telco/holding co),,1444.5501181500001,292167.6,0.5,290723.0,,2082.8562631199998,,,,False,external estimate unavailable,20315.123914162803,1128830.1,1.8,1108515.0
E03,Anglo American,mining,2025,current,USD,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",7557.961123382787,302482.7,2.5,294924.7,revenue only - no disclosed cost_of_sales line for this sector (insurer/REIT/telco/holding co),,632.0166275800001,209434.9,0.3,208802.9,,996.3789104,,,,False,external estimate unavailable,9186.356661362788,511917.6,1.8,502731.2
E09,Shoprite Holdings,consumer,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",10593.3506455,447941.0,2.4,437347.6,revenue + cost_of_sales,,1539.09058651,57728.0,2.7,56188.9,,3356.21781079,,,,False,external estimate unavailable,15488.6590428,505669.0,3.1,490180.3
E10,Bid Corporation,consumer,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",12928.06153931,413509.30000000005,3.1,400581.2,revenue + cost_of_sales,,1878.6987445,80928.20000000001,2.3,79049.5,,6165.601154270001,,,,False,external estimate unavailable,20972.36143808,494437.50000000006,4.2,473465.1
E16,MTN Group,telecoms,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",10436.28474823,226707.0,4.6,216270.7,revenue only - no disclosed cost_of_sales line for this sector (insurer/REIT/telco/holding co),,1443.1691609700001,,,,external estimate unavailable,6209.6461802799995,179551.94400000002,3.5,173342.3,True,,18089.10008948,406258.944,4.5,388169.8
E15,Naspers,tech,2025,current,USD,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",1459.23850549,187205.40000000002,0.8,185746.2,revenue + cost_of_sales,,45.3883414,15129.8,0.3,15084.4,,2053.35882874,99693.12698,2.1,97639.8,True,,3557.9856756299996,302028.32698,1.2,298470.3
E04,AngloGold Ashanti,mining,2025,current,USD,"low - foreign reporting currency; consolidated GROUP figures likely include material non-SA operations, treat Rand gap as directional/% only, not literal",1981.9501894240957,243432.2,0.8,241450.2,revenue + cost_of_sales,,515.69385549,47951.9,1.1,47436.2,,848.49269506,,,,False,external estimate unavailable,3346.1367399740957,291384.10000000003,1.1,288038.0
E17,Vodacom Group,telecoms,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",249.58059532,152227.0,0.2,151977.4,revenue only - no disclosed cost_of_sales line for this sector (insurer/REIT/telco/holding co),,180.73887383000002,74880.0,0.2,74699.3,,2910.73480348,61880.275499999996,4.7,58969.5,True,,3341.05427263,288987.2755,1.2,285646.2
E06,Valterra Platinum,mining,2025,current,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",51.594211615112414,204102.0,0.0,204050.4,revenue + cost_of_sales,,115.37832023,58949.0,0.2,58833.6,,202.51154087999998,,,,False,external estimate unavailable,369.4840727251124,263051.0,0.1,262681.5
