entity_name,canonical,fiscal_year,currency,top_down_reliability,partial_window,revenue_zar_m,cost_of_sales_zar_m,operating_expenses_zar_m,trade_receivables_zar_m,trade_payables_zar_m,inventory_zar_m,foreign_revenue_pct,fx_gains_losses_zar_m,internal_pillar1_zar_m,total_wallet_pillar1_zar_m,share_pct_pillar1,gap_zar_m_pillar1,pillar1_proxy_note,internal_pillar2_zar_m,total_wallet_pillar2_zar_m,share_pct_pillar2,gap_zar_m_pillar2,internal_pillar3_zar_m,total_wallet_pillar3_zar_m,share_pct_pillar3,gap_zar_m_pillar3,pillar3_estimated,zero_wallet_flag_pillar3
Anglo American,angloamerican,2024,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,445408.3,,449129.5,52685.2,99429.4,105092.9,,-685.5,9357.267843397358,445408.3,2.1,436051.0,revenue only - no disclosed cost_of_sales line for this sector/year,877.8915958700001,257207.49999999997,0.34,256329.6,1580.2507093800002,,,,False,False
Anglo American,angloamerican,2025,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,302694.8,,280628.4,66215.5,80888.4,62331.0,,-1256.7,7675.305136527519,302694.8,2.54,295019.5,revenue only - no disclosed cost_of_sales line for this sector/year,658.73461987,209434.9,0.31,208776.2,1205.5282465900002,,,,False,False
AngloGold Ashanti,angloashanti,2024,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,94549.3,60813.2,,6104.2,15619.5,19797.7,,-1420.0,1776.8989859769558,155362.5,1.14,153585.6,revenue + cost_of_sales,491.12552142000004,41521.4,1.18,41030.3,849.74602108,,,,False,False
AngloGold Ashanti,angloashanti,2025,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,161466.6,81965.6,,,16566.1,20417.9,,-669.2,1787.4749764118856,243432.2,0.73,241644.7,revenue + cost_of_sales,419.42773092000004,36984.0,1.13,36564.6,901.20740301,,,,False,False
Aspen Pharmacare,aspen,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,44706.0,25252.0,,12664.0,10347.0,18002.0,,-64.0,3095.74321803,69958.0,4.43,66862.3,revenue + cost_of_sales,394.81503297,41013.0,0.96,40618.2,1439.2539458499998,,,,False,False
Aspen Pharmacare,aspen,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,43363.0,24234.0,,13339.0,10675.0,18009.0,,8.0,3038.9654526500003,67597.0,4.5,64558.0,revenue + cost_of_sales,369.16749488,42023.0,0.88,41653.8,1370.7736310099997,,,,False,False
BHP Group,bhp,2024,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,908410.9,,599807.8,84364.8,109662.8,114885.6,95.7,-375.4,14596.423841388392,908410.9,1.61,893814.5,revenue only - no disclosed cost_of_sales line for this sector/year,1204.2141390300003,308913.2,0.39,307709.0,2083.26032699,869349.2313000001,0.24,867266.0,True,False
BHP Group,bhp,2025,USD,"low - foreign reporting currency, group figures may include material non-SA operations",False,836662.5,,527488.1,69414.5,108863.1,113890.0,,-1387.3,15134.861552116903,836662.5,1.81,821527.6,revenue only - no disclosed cost_of_sales line for this sector/year,1278.7064070899999,292167.6,0.44,290888.9,2174.4634524099997,,,,False,False
Bid Corporation,bid,2024,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,225905.3,171444.5,,23524.6,33261.8,17007.7,,,9109.76025115,397349.8,2.29,388240.0,revenue + cost_of_sales,1607.74502354,73794.1,2.18,72186.4,3964.72587303,,,,False,False
Bid Corporation,bid,2025,ZAR,"moderate - ZAR reporter, financials are for the SA-listed entity itself",False,235591.2,177918.1,,25275.7,36389.8,19262.7,,-8.1,11209.23914921,413509.30000000005,2.71,402300.1,revenue + cost_of_sales,1964.19981546,80928.20000000001,2.43,78964.0,5181.30731713,,,,False,False
